[INIT] First code: 73 = I
[READ] Code: 83 | next_code: 501 | code_size: 9
[READ] Code: 286 | next_code: 502 | code_size: 9
[READ] Code: 111 | next_code: 503 | code_size: 9
[READ] Code: 110 | next_code: 504 | code_size: 9
[READ] Code: 359 | next_code: 505 | code_size: 9
[READ] Code: 447 | next_code: 506 | code_size: 9
[READ] Code: 449 | next_code: 507 | code_size: 9
[READ] Code: 407 | next_code: 508 | code_size: 9
[READ] Code: 381 | next_code: 509 | code_size: 9
[READ] Code: 325 | next_code: 510 | code_size: 9
[READ] Code: 226 | next_code: 511 | code_size: 9
[READ] Code: 712 | next_code: 512 | code_size: 10
Invalid or unknown code: 712
